         5864117 function calls (5727303 primitive calls) in 13.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.023    0.002 __init__.py:659(<genexpr>)
       30    0.004    0.000    0.023    0.001 __init__.py:864(_rc_params_in_file)
     1258    0.001    0.000    0.023    0.000 genericpath.py:39(isdir)
     2146    0.002    0.000    0.023    0.000 __init__.py:2100(dist_factory)
     3312    0.010    0.000    0.023    0.000 version.py:261(__init__)
        1    0.000    0.000    0.023    0.023 io.py:1(<module>)
        1    0.000    0.000    0.023    0.023 io.py:21(<dictcomp>)
    13378    0.008    0.000    0.022    0.000 facts.py:204(<genexpr>)
      131    0.000    0.000    0.022    0.000 response.py:424(_decode)
      136    0.001    0.000    0.022    0.000 _docstring.py:66(__call__)
      414    0.001    0.000    0.022    0.000 __init__.py:2869(get_entry_map)
        1    0.000    0.000    0.022    0.022 mul.py:1(<module>)
      136    0.001    0.000    0.022    0.000 response.py:119(decompress)
      440    0.001    0.000    0.022    0.000 __init__.py:2085(<genexpr>)
  126/115    0.000    0.000    0.022    0.000 _docstring.py:107(__call__)
        1    0.000    0.000    0.022    0.022 rfc3986_validator.py:1(<module>)
        1    0.000    0.000    0.022    0.022 pyarrow.py:1(<module>)
        2    0.000    0.000    0.022    0.011 indexing.py:1(<module>)
        1    0.000    0.000    0.021    0.021 Image.py:1(<module>)
      673    0.001    0.000    0.021    0.000 __init__.py:2784(_get_metadata)
      207    0.000    0.000    0.021    0.000 __init__.py:2547(parse_map)
      817    0.002    0.000    0.021    0.000 inspect.py:1959(_signature_bound_method)
63677/63569    0.017    0.000    0.021    0.000 {method 'join' of 'str' objects}
      131    0.021    0.000    0.021    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    45067    0.011    0.000    0.021    0.000 {built-in method builtins.issubclass}
    42793    0.010    0.000    0.021    0.000 sre_parse.py:255(get)
      414    0.000    0.000    0.021    0.000 __init__.py:2054(_by_version)
        1    0.000    0.000    0.021    0.021 mock.py:1(<module>)
   200255    0.020    0.000    0.020    0.000 solver.py:769(<genexpr>)
     1169    0.004    0.000    0.020    0.000 typing.py:1016(__init__)
  590/475    0.000    0.000    0.020    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.020    0.020 std.py:1(<module>)
        1    0.000    0.000    0.020    0.020 index_tricks.py:1(<module>)
       34    0.000    0.000    0.020    0.001 _core_utils.py:565(validate_core_schema)
      911    0.001    0.000    0.020    0.000 inspect.py:3014(replace)
       34    0.019    0.001    0.020    0.001 {built-in method pydantic_core._pydantic_core.validate_core_schema}
       97    0.000    0.000    0.020    0.000 compute.py:113(_scrape_options_class_doc)
        4    0.000    0.000    0.020    0.005 pegasus.py:1(<module>)
        2    0.000    0.000    0.020    0.010 parsing.py:1(<module>)
       97    0.000    0.000    0.019    0.000 docscrape.py:146(__init__)
       29    0.000    0.000    0.019    0.001 _model_construction.py:315(inspect_namespace)
     2881    0.008    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
